location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated;stringency_index
Indonesia;4.730.857;103.143;1.12;;;68.06
Indonesia;4.747.857;107.429;1.12;;;68.06
Indonesia;4.895.857;120.429;1.13;;;68.06
Indonesia;4.955.857;124.571;1.14;;;68.06
Indonesia;5.228.286;133.0;1.15;;;68.06
Indonesia;5.253.286;134.714;1.14;;;68.06
Indonesia;5.381.857;138.571;1.14;;;68.06
Indonesia;5.381.714;139.143;1.14;;;68.06
Indonesia;5.874.857;143.286;1.15;;;68.06
Indonesia;5.871.286;136.857;1.12;;;68.06
Indonesia;5.958.286;134.714;1.1;;;68.06
Indonesia;5.932.857;132.143;1.09;;;68.06
Indonesia;6.095.286;131.714;1.09;;;62.5
Indonesia;6.123.857;131.286;1.07;;;62.5
Indonesia;6.198.857;138.857;1.06;;;62.5
Indonesia;5.865.143;140.143;1.05;;;62.5
Indonesia;5.937.571;147.429;1.06;;;62.5
Indonesia;5.989.143;152.0;1.06;;;62.5
Indonesia;6.003.429;154.143;1.07;;;62.5
Indonesia;5.965.571;155.571;1.08;;;62.5
Indonesia;6.083.857;158.714;1.08;;;62.5
Indonesia;6.179.143;153.857;1.09;;;62.5
Indonesia;6.367.857;150.571;1.09;;;62.5
Indonesia;6422.0;143.286;1.09;;;62.5
Indonesia;6.616.714;143.714;1.1;;;62.5
Indonesia;6730.0;151.571;1.09;;;62.5
Indonesia;6.924.143;161.286;1.09;;;68.06
Indonesia;6.956.571;163.714;1.07;;;68.06
Indonesia;7.069.286;165.714;1.06;;;68.06
Indonesia;7.047.143;171.286;1.05;;;68.06
Indonesia;7.128.571;190.429;1.04;;;68.06
Indonesia;6.984.143;190.714;1.04;;;68.06
Indonesia;6.919.286;193.857;1.05;;;68.06
Indonesia;6.777.286;195.286;1.06;;;68.06
Indonesia;6.999.571;206.571;1.08;;;68.06
Indonesia;7.069.286;219.429;1.08;;;68.06
Indonesia;7.194.286;221.286;1.07;;;68.06
Indonesia;7.310.429;211.714;1.07;;;68.06
Indonesia;7.376.571;223.0;1.07;;;68.06
Indonesia;7.426.429;213.857;1.08;;;68.06
Indonesia;7.554.857;208.429;1.1;;;68.06
Indonesia;7.489.429;200.857;1.12;;;68.06
Indonesia;7.611.143;193.143;1.14;;;68.06
Indonesia;7.789.286;197.429;1.16;;;68.06
Indonesia;8.152.857;203.429;1.18;;;68.06
Indonesia;8559.0;198.857;1.18;;;68.06
Indonesia;8.953.714;199.286;1.19;;;68.06
Indonesia;9.230.714;204.571;1.19;;;68.06
Indonesia;9.602.429;219.429;1.19;;;68.06
Indonesia;9.948.714;236.429;1.19;;;68.06
Indonesia;10.268.143;246.571;1.19;;;68.06
Indonesia;10.582.571;247.286;1.19;;;68.06
Indonesia;11.179.429;260.0;1.18;;;68.06
Indonesia;11.414.714;265.429;1.15;;;68.06
Indonesia;11471.0;277.0;1.13;;;68.06
Indonesia;11.516.429;277.857;1.11;;;68.06
Indonesia;11.700.714;272.286;1.11;;;68.06
Indonesia;11.721.571;279.571;1.1;;;68.06
Indonesia;11.837.857;281.286;1.09;;;68.06
Indonesia;11.547.429;271.0;1.09;;;68.06
Indonesia;11619.0;264.0;1.08;;;68.06
Indonesia;11.748.714;264.286;1.08;;;68.06
Indonesia;12.138.571;268.286;1.08;;;68.06
Indonesia;12050.0;285.429;1.07;;;68.06
Indonesia;12.334.571;304.0;1.06;;5468.0;68.06
Indonesia;12.358.857;295.0;1.05;;11287.0;68.06
Indonesia;12.691.286;294.857;1.04;;20810.0;68.06
Indonesia;12.721.714;309.0;1.02;;22548.0;68.06
Indonesia;12.864.571;306.429;1.0;;35406.0;68.06
Indonesia;12.476.714;301.857;0.97;;51999.0;68.06
Indonesia;12.481.857;273.571;0.96;;71621.0;68.06
Indonesia;12.158.857;238.571;0.94;;96553.0;68.06
Indonesia;11.865.571;240.571;0.93;;120725.0;68.06
Indonesia;11.528.143;237.857;0.92;;137207.0;68.06
Indonesia;11.360.429;222.571;0.9;;139131.0;68.06
Indonesia;10.967.286;212.286;0.88;;171270.0;68.06
Indonesia;10.727.429;199.286;0.86;;221453.0;68.06
Indonesia;10.269.143;199.571;0.85;;279251.0;68.06
Indonesia;9.840.714;197.143;0.85;;345605.0;68.06
Indonesia;9.572.143;207.714;0.85;;;68.06
Indonesia;9099.0;220.429;0.86;;415486.0;68.06
Indonesia;8.518.714;232.429;0.87;;425578.0;68.06
Indonesia;8.264.429;229.143;0.89;;482625.0;68.06
Indonesia;8.454.286;231.429;0.92;;537147.0;68.06
Indonesia;8.584.429;231.571;0.93;;597328.0;68.06
Indonesia;8.670.714;226.857;0.94;;623832.0;68.06
Indonesia;8.777.143;213.714;0.94;;;68.06
Indonesia;8.664.286;197.143;0.94;;732634.0;68.06
Indonesia;8.740.714;186.571;0.94;;;68.06
Indonesia;9.271.857;189.143;0.95;;;68.06
Indonesia;9.235.571;202.571;0.93;;789966.0;68.06
Indonesia;8.927.857;209.429;0.9;;825650.0;68.06
Indonesia;8.849.857;221.286;0.88;;853745.0;68.06
Indonesia;8.509.571;233.429;0.86;;865870.0;68.06
Indonesia;8.245.857;237.857;0.85;;982370.0;68.06
Indonesia;7.997.286;239.571;0.84;;998439.0;68.06
Indonesia;7.497.286;233.429;0.84;;;71.76
Indonesia;6.916.857;214.857;0.84;;1055291.0;71.76
Indonesia;6.813.286;209.571;0.85;;1100228.0;71.76
Indonesia;6.637.714;197.0;0.86;;;71.76
Indonesia;6.457.571;177.143;0.87;;1114537.0;71.76
Indonesia;6.394.571;167.571;0.87;;;71.76
Indonesia;6.432.571;157.143;0.88;;1133787.0;71.76
Indonesia;6.463.143;174.571;0.88;;;71.76
Indonesia;6.559.857;177.0;0.88;;;71.76
Indonesia;6392.0;173.0;0.86;;1262878.0;71.76
Indonesia;6.089.143;164.571;0.86;;1295615.0;71.76
Indonesia;6.009.286;171.857;0.87;;1339362.0;71.76
Indonesia;5.843.571;167.857;0.88;;1454836.0;71.76
Indonesia;5.684.714;165.714;0.9;;1460222.0;71.76
Indonesia;5.498.286;146.571;0.92;;1572786.0;71.76
Indonesia;5359.0;142.286;0.94;;1716749.0;71.76
Indonesia;5.529.286;140.429;0.95;;1876140.0;71.76
Indonesia;5733.0;156.143;0.96;;1948531.0;71.76
Indonesia;5714.0;158.571;0.95;;2068400.0;71.76
Indonesia;5.863.857;159.714;0.95;;2221200.0;71.76
Indonesia;5.818.429;160.571;0.94;;2301978.0;71.76
Indonesia;5.840.571;162.571;0.94;0.1384;2312601.0;71.76
Indonesia;5.823.857;158.857;0.93;0.1366;2494422.0;71.76
Indonesia;5.595.571;152.571;0.92;0.1353;2709545.0;71.76
Indonesia;5.529.429;134.143;0.92;0.1262;2941016.0;71.76
Indonesia;5.344.143;118.143;0.92;0.1198;3148611.0;71.76
Indonesia;5.173.429;131.0;0.92;0.1152;3233810.0;71.76
Indonesia;5.128.714;128.429;0.93;0.1126;3246455.0;71.76
Indonesia;5.023.571;124.286;0.94;0.1098;3313494.0;71.76
Indonesia;4.935.714;127.0;0.96;0.1085;3500264.0;71.76
Indonesia;5.037.143;125.0;0.97;0.1122;3709597.0;71.76
Indonesia;5.042.143;139.0;0.98;0.1117;3850791.0;71.76
Indonesia;5.091.143;140.714;0.98;0.1166;3867566.0;71.76
Indonesia;5.074.571;125.429;0.98;0.12;3951869.0;71.76
Indonesia;5.452.857;174.286;0.99;0.1276;4014401.0;71.76
Indonesia;5.267.714;176.286;0.96;0.1236;4208326.0;71.76
Indonesia;5.248.714;174.714;0.96;0.1225;4378351.0;71.76
Indonesia;5.094.857;172.286;0.96;0.1159;4547580.0;71.76
Indonesia;5.003.714;167.571;0.97;0.114;4665191.0;71.76
Indonesia;4.995.143;171.0;0.98;0.1114;4943231.0;71.76
Indonesia;5.049.143;171.571;0.99;0.1099;5050524.0;71.76
Indonesia;4.677.143;123.0;0.99;0.1028;5099990.0;71.76
Indonesia;4.836.714;120.143;1.01;0.1076;5310739.0;71.76
Indonesia;5.001.429;115.0;1.03;0.1109;5431997.0;71.76
Indonesia;5.115.143;120.286;1.03;0.1169;5568857.0;71.76
Indonesia;5.211.286;120.857;1.03;0.1212;5713404.0;71.76
Indonesia;5.225.286;121.143;1.02;0.1208;5819946.0;71.76
Indonesia;5.270.714;126.429;1.02;0.1213;5889716.0;71.76
Indonesia;5.336.143;127.714;1.02;0.1227;5910921.0;71.76
Indonesia;5.353.714;130.143;1.02;0.122;6050732.0;71.76
Indonesia;5.331.857;142.143;1.02;0.1225;6131887.0;71.76
Indonesia;5341.0;157.286;1.02;0.1216;6322003.0;71.76
Indonesia;5.350.429;157.0;1.01;0.1191;6488197.0;71.76
Indonesia;5.360.857;164.286;1.0;0.1227;6677148.0;71.76
Indonesia;5.289.857;167.429;0.99;0.1221;6784594.0;71.76
Indonesia;5.263.714;167.143;0.99;0.121;6822304.0;71.76
Indonesia;5.405.429;172.0;1.0;0.1244;6998304.0;71.76
Indonesia;5.277.857;166.0;0.99;0.12;7178768.0;71.76
Indonesia;5.209.429;158.429;0.98;0.1208;7374458.0;71.76
Indonesia;5.150.857;166.0;0.98;0.1195;7566371.0;71.76
Indonesia;5160.0;167.857;0.98;0.1159;7629859.0;71.76
Indonesia;5.155.429;164.571;0.97;0.116;7667583.0;71.76
Indonesia;5.154.286;171.714;0.97;0.116;7678485.0;71.76
Indonesia;4.980.857;168.286;0.97;0.1125;7827196.0;71.76
Indonesia;4.939.857;171.143;0.98;0.1117;7981055.0;71.76
Indonesia;4.946.143;176.143;0.99;0.1083;8151942.0;71.76
Indonesia;4.919.571;166.0;1.0;0.1096;8317944.0;71.76
Indonesia;5.037.714;163.143;1.0;0.114;8456259.0;71.76
Indonesia;5.268.857;170.0;0.99;0.1181;8583854.0;71.76
